A2HD5XMM48KKJW,4518,1,1
A2HD5XMM48KKJW,10415,0,0
A2HD5XMM48KKJW,7098,1,0
A2HD5XMM48KKJW,4396,0,1
A2HD5XMM48KKJW,2812,1,1
A233ONYNWKDIYF,4518,1,1
A233ONYNWKDIYF,10415,0,0
A233ONYNWKDIYF,7098,0,0
A233ONYNWKDIYF,4396,1,1
A233ONYNWKDIYF,2812,0,1
A33SMNMTMIOJ6T,4518,1,1
A33SMNMTMIOJ6T,10415,0,0
A33SMNMTMIOJ6T,7098,1,0
A33SMNMTMIOJ6T,4396,1,1
A33SMNMTMIOJ6T,2812,1,1
A24ZS6FANCA3E5,4518,1,1
A24ZS6FANCA3E5,10415,0,0
A24ZS6FANCA3E5,7098,0,0
A24ZS6FANCA3E5,2812,1,1
A2865KTIP7MIXZ,4518,1,1
A2865KTIP7MIXZ,10415,0,0
A2865KTIP7MIXZ,7098,0,0
A2865KTIP7MIXZ,4396,1,1
A2865KTIP7MIXZ,2812,0,1
A233ONYNWKDIYF,7861,0,0
A233ONYNWKDIYF,5133,1,1
A233ONYNWKDIYF,8474,0,0
A233ONYNWKDIYF,8774,0,0
A233ONYNWKDIYF,9387,0,0
A207OR9LV0PAPY,7861,1,0
A207OR9LV0PAPY,5133,1,1
A207OR9LV0PAPY,8474,1,0
A207OR9LV0PAPY,8774,1,0
A207OR9LV0PAPY,9387,1,0
A2865KTIP7MIXZ,7861,0,0
A2865KTIP7MIXZ,5133,1,1
A2865KTIP7MIXZ,8474,0,0
A2865KTIP7MIXZ,8774,0,0
A2865KTIP7MIXZ,9387,0,0
A24ZS6FANCA3E5,7861,0,0
A24ZS6FANCA3E5,5133,1,1
A24ZS6FANCA3E5,8474,0,0
A24ZS6FANCA3E5,8774,0,0
A24ZS6FANCA3E5,9387,0,0
ARX0S1CIDJLOX,7861,0,0
ARX0S1CIDJLOX,5133,1,1
ARX0S1CIDJLOX,8474,0,0
ARX0S1CIDJLOX,8774,0,0
ARX0S1CIDJLOX,9387,0,0
A1JH7KENWHOGB7,4491,1,1
A1JH7KENWHOGB7,7868,0,0
A1JH7KENWHOGB7,4390,1,1
A1JH7KENWHOGB7,7442,0,0
A1JH7KENWHOGB7,10425,0,0
A207OR9LV0PAPY,4491,1,1
A207OR9LV0PAPY,7868,0,0
A207OR9LV0PAPY,4390,1,1
A207OR9LV0PAPY,7442,1,0
A207OR9LV0PAPY,10425,0,0
A2T19IADVP11HY,4491,1,1
A2T19IADVP11HY,7868,1,0
A2T19IADVP11HY,4390,1,1
A2T19IADVP11HY,7442,0,0
A2T19IADVP11HY,10425,0,0
APPTLVXZD0SKE,4491,1,1
APPTLVXZD0SKE,7868,0,0
APPTLVXZD0SKE,4390,1,1
APPTLVXZD0SKE,7442,0,0
APPTLVXZD0SKE,10425,0,0
A119KIC2YMT1HX,4491,1,1
A119KIC2YMT1HX,7868,1,0
A119KIC2YMT1HX,4390,1,1
A119KIC2YMT1HX,7442,0,0
A119KIC2YMT1HX,10425,0,0
A31A20Z5P0UJBH,3143,1,1
A31A20Z5P0UJBH,3199,1,1
A31A20Z5P0UJBH,2696,1,1
A31A20Z5P0UJBH,4334,1,1
A31A20Z5P0UJBH,6278,0,0
A1UB330C1JPJ9I,3143,1,1
A1UB330C1JPJ9I,3199,1,1
A1UB330C1JPJ9I,2696,1,1
A1UB330C1JPJ9I,4334,1,1
A1UB330C1JPJ9I,6278,0,0
A3CFNUD7VR2E1E,3143,0,1
A3CFNUD7VR2E1E,3199,1,1
A3CFNUD7VR2E1E,2696,1,1
A3CFNUD7VR2E1E,4334,1,1
A3CFNUD7VR2E1E,6278,0,0
A207OR9LV0PAPY,3143,1,1
A207OR9LV0PAPY,3199,1,1
A207OR9LV0PAPY,2696,1,1
A207OR9LV0PAPY,4334,1,1
A207OR9LV0PAPY,6278,1,0
ARX0S1CIDJLOX,3143,1,1
ARX0S1CIDJLOX,3199,1,1
ARX0S1CIDJLOX,2696,1,1
ARX0S1CIDJLOX,4334,1,1
ARX0S1CIDJLOX,6278,0,0
ARX0S1CIDJLOX,3824,1,1
ARX0S1CIDJLOX,561,1,1
ARX0S1CIDJLOX,8307,0,0
ARX0S1CIDJLOX,3645,1,1
ARX0S1CIDJLOX,3149,1,1
ANCF8G8GCO4EM,3824,1,1
ANCF8G8GCO4EM,561,1,1
ANCF8G8GCO4EM,8307,0,0
ANCF8G8GCO4EM,3645,1,1
ANCF8G8GCO4EM,3149,0,1
APPTLVXZD0SKE,3824,1,1
APPTLVXZD0SKE,561,1,1
APPTLVXZD0SKE,8307,0,0
APPTLVXZD0SKE,3645,1,1
APPTLVXZD0SKE,3149,1,1
A207OR9LV0PAPY,3824,1,1
A207OR9LV0PAPY,561,1,1
A207OR9LV0PAPY,8307,0,0
A207OR9LV0PAPY,3645,1,1
A207OR9LV0PAPY,3149,1,1
AL12RG9EJZ60,3824,1,1
AL12RG9EJZ60,561,1,1
AL12RG9EJZ60,8307,0,0
AL12RG9EJZ60,3645,1,1
AL12RG9EJZ60,3149,1,1
