A2N7I0331X72Z7,81991168,0,0,14
A4T1X0PO5N1G9,81991168,0,0,5
A1R0689JPSQ3OF,81991168,0,0,19
A3F7TD3W9043EO,81991168,1,0,8
A1IWCAELIKUG2S,81991168,0,0,5
A1K5FQWAV30V23,81991168,0,0,6
A3CJT6C1XWL7WQ,81991168,0,0,6
A3J2UG22S8BIW4,81991168,0,0,10
A1X2U32G8UXG1T,81991168,0,0,6
A2VZ8PX50FB2IG,81991168,0,0,7
A18TCR555RWUZV,81991168,0,0,5
A510NKLV727GZ,81991168,2,0,9
A1HGC1W5EWXUYS,81991168,0,0,13
A2QLSHXNCHBRN4,81991168,0,0,8
A1UT5N655D2OHX,81991168,0,0,47
AEL1MCZLN6W8Y,81991168,1,0,10
A49XY0E6KFP15,81991168,2,0,6
AOAZMLP27GD81,81991168,0,0,8
A1AVXGO6VIGH7D,81991168,1,0,5
A2N4DD7IS7EI2D,81991168,2,0,17
A3J2UG22S8BIW4,80052225,3,2,5
A2QLSHXNCHBRN4,80052225,3,2,9
AU5Y7J1PF0UIT,80052225,3,2,8
A1R0689JPSQ3OF,80052225,2,2,12
A18TCR555RWUZV,80052225,3,2,5
AJPQEZBVJXVE9,80052225,3,2,4
A33G1859PJ4KDO,80052225,3,2,88
A1E1XXSCJHEA3T,80052225,3,2,8
A2Q5O64TC9HI8V,80052225,2,2,5
A3F7TD3W9043EO,80052225,3,2,8
A1AVXGO6VIGH7D,80052225,2,2,5
A49XY0E6KFP15,80052225,2,2,6
A3F0NFNLOLFJT0,80052225,2,2,8
A1TM1ZFU4OIPTD,80052225,3,2,161
A2VZ8PX50FB2IG,80052225,3,2,4
A1PPX9MVJFMNJ5,80052225,2,2,5
A1E3JQKS4PASBU,80052225,2,2,6
AFJ9I4LSV49SB,80052225,2,2,6
A1K5FQWAV30V23,80052225,4,2,8
A510NKLV727GZ,80052225,2,2,8
A14PFRHG0A2YY9,81991664,1,0,12
A14KDXENR3YF9,81991664,0,0,7
A1TM1ZFU4OIPTD,81991664,0,0,230
A18TCR555RWUZV,81991664,0,0,4
A2KFBIPESKBKWK,81991664,0,0,2
AOAZMLP27GD81,81991664,0,0,7
A1PPX9MVJFMNJ5,81991664,1,0,16
A2QVMCGDLTWV9,81991664,4,0,8
A2N7I0331X72Z7,81991664,0,0,12
A1QKX5CZJQONP,81991664,1,0,13
AHGJTOTIPCL8X,81991664,4,0,23
A109CH3492UU42,81991664,0,0,200
A1G9HRCWBX9F31,81991664,0,0,13
A3F0NFNLOLFJT0,81991664,0,0,22
A2VZ8PX50FB2IG,81991664,0,0,6
A80VSGAD9H8VE,81991664,0,0,10
A4T1X0PO5N1G9,81991664,0,0,8
AMCBA6BNEVO01,81991664,0,0,8
A3J2UG22S8BIW4,81991664,4,0,8
A510NKLV727GZ,81991664,2,0,9
AJPQEZBVJXVE9,80056235,2,2,7
ANMWPCK7TJMZ8,80056235,2,2,19
A2QVMCGDLTWV9,80056235,2,2,9
A510NKLV727GZ,80056235,2,2,7
A20ALQT1HIVSAH,80056235,2,2,7
A2QLSHXNCHBRN4,80056235,2,2,24
AWN1PEZWRQSQ9,80056235,2,2,6
A3F7TD3W9043EO,80056235,2,2,11
AHGJTOTIPCL8X,80056235,2,2,7
A2Q5O64TC9HI8V,80056235,2,2,7
A2N7I0331X72Z7,80056235,2,2,15
A14KDXENR3YF9,80056235,2,2,8
AOAZMLP27GD81,80056235,2,2,7
A4T1X0PO5N1G9,80056235,2,2,5
A342WOUTH0TSUI,80056235,2,2,144
A1IWCAELIKUG2S,80056235,2,2,5
ANNX4OXTA2JWW,80056235,2,2,13
